symbol,name,sector,subindustry,address,date_added,CIK,frequency
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",,1090872,10
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/2015,1158449,2
AAPL,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",11/30/1982,320193,43
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",,1140859,5
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,5
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373,7
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,14
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",,6281,2
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/1981,7084,6
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",3/31/1981,8670,1
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,1101215,1
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",12/1/1989,769397,11
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904,8
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",,874761,5
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",,4977,2
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,5272,10
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",4/10/2007,1267238,9
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",5/31/2016,354190,4
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",7/12/2007,1086222,8
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",,899051,3
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/2012,899866,5
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",,6951,6
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductor ,"Sunnyvale, California",3/20/2017,2488,8
AME,AMETEK Inc,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1037868,1
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,318154,6
AMT,American Tower Corp A,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1053507,3
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1018724,31
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",,315293,2
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,5
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,6769,9
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",,773910,10
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,820313,1
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",8/31/2015,718877,11
AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1441634,3
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/2016,1410636,7
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/1976,4962,5
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",5/3/2016,1144215,7
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927,5
BAC,Bank of America Corp,Financials,Banks,"Charlotte, North Carolina",6/30/1976,70858,16
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,10456,7
BBT,BB&T Corporation,Financials,Banks,"Winston-Salem, North Carolina",,92230,7
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",,764478,3
BF.B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,14693,2
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,"Weston, Massachusetts",,875045,8
BK,The Bank of New York Mellon Corp.,Financials,Banks,"New York, New York",,1390777,4
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,1364742,3
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,9389,3
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",,14272,9
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,1067983,19
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,908255,3
C,Citigroup Inc.,Financials,Banks,"New York, New York",5/31/1988,831001,18
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",7/31/1987,356028,4
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",,721371,8
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",,18230,8
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,896159,4
CBG,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",,1138118,3
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",9/1/1994,813828,7
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",,815097,7
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017,813672,3
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,313927,5
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1091667,6
CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",6/30/1976,701221,1
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",4/28/2011,1058090,9
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",3/30/2016,1071739,7
CNP,CenterPoint Energy,Utilities,MultiUtilities,"Houston, Texas",7/31/1985,1130310,2
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",,927628,2
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,4
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California",9/15/2008,1108524,19
CSCO,Cisco Systems,Information Technology,Networking Equipment,"San Jose, California",12/1/1993,858877,22
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",,723254,4
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",,18926,1
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",,877890,7
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,18
D,Dominion Resources,Utilities,Electric Utilities,"Richmond, Virginia",,715957,9
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,27904,14
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,29534,3
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California",6/30/1976,1001039,15
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",3/1/2010,1437107,8
DISH,Dish Network,Consumer Discretionary,Cable & Satellite,"Meridian, Colorado",3/13/2017,1001082,2
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,"Plano, Texas",10/7/2008,1418135,5
