user_id,frequency
1,1
2,47
3,32
4,23
5,2
6,13
7,34
8,49
9,27
10,2
11,45
12,41
13,35
14,11
15,17
16,31
17,12
18,17
19,24
20,39
21,17
22,29
23,34
24,35
25,19
26,3
27,1
28,48
29,9
30,49
31,6
32,48
33,26
34,37
35,43
36,50
37,48
38,5
39,36
40,29
41,19
42,37
43,2
44,29
45,48
46,6
47,4
48,40
49,17
50,45
51,40
52,50
53,26
54,21
55,25
56,17
57,44
58,18
59,14
60,35
61,37
62,40
63,10
64,23
65,19
66,36
67,47
68,48
69,47
70,19
71,25
72,19
73,37
74,21
75,45
76,40
77,38
78,38
79,29
80,9
81,26
82,6
83,27
84,23
85,15
86,7
87,45
88,23
89,12
90,10
91,40
92,30
93,25
94,44
95,16
96,34
97,22
98,48
99,35
100,8
101,14
102,43
103,17
104,24
105,39
106,10
107,27
108,29
109,34
110,18
111,46
112,29
113,24
114,21
115,25
116,18
117,3
118,39
119,16
120,36
121,29
122,3
123,38
124,7
125,1
126,25
127,4
128,21
129,23
130,31
131,17
132,22
133,36
134,35
135,36
136,8
137,24
138,6
139,8
140,25
141,49
142,10
143,19
144,41
145,22
146,5
147,34
148,16
149,28
150,4
151,16
152,36
153,6
154,25
155,18
156,42
157,49
158,23
159,8
160,13
161,28
162,5
163,24
164,10
165,46
166,31
167,16
168,33
169,35
170,42
171,32
172,3
173,28
174,24
175,3
176,6
177,19
178,48
179,50
180,37
181,18
182,6
183,46
184,9
185,25
186,8
187,44
188,49
189,5
190,43
191,14
192,7
193,45
194,15
195,7
196,9
197,48
198,5
199,26
200,10
